sep=,
X,Y,Z
99.3566,-19.1897,-2.03933
100.847,-13.0571,-7.81758
101.894,-20.5633,-28.2754
99.9042,-14.5195,-39.7681
97.6516,-2.01757,-43.1087
100.357,5.13306,59.5122
103.812,-14.1708,36.513
107.392,-13.7974,20.344
106.016,-15.5953,17.229
110.79,-13.1263,-1.20534
106.175,-5.17785,-4.44742
111.829,-17.1071,-16.3839
103.114,-2.7085,-42.9376
100.858,-2.36242,-43.3372
100.851,5.56975,60.5671
110.655,-9.49461,34.9249
118.226,-5.70753,24.1509
118.015,-9.39315,18.069
117.511,-5.3873,-0.464034
107.564,-3.24614,-5.82336
114.096,-16.7938,-17.2292
118.723,-9.11614,-35.1283
98.0488,11.0315,-47.0065
114.018,5.68526,60.533
120.567,-0.331934,40.5856
119.636,-5.51339,20.3406
121.814,-4.7344,8.72337
118.164,-4.97159,0.863047
121.262,-7.8259,-12.4828
124.73,-10.7858,-19.6647
120.516,-4.3372,-38.8246
100.066,11.1222,-49.6379
115.068,8.17462,59.8177
120.572,9.38309,47.5485
131.022,0.621301,27.8002
136.25,4.57227,15.4903
138.285,6.20578,9.43529
132.506,0.321946,-14.938
139.228,2.4106,-22.4964
116.787,12.0228,-46.1107
97.0236,12.5441,-46.788
112.71,18.37,58.9012
120.712,21.035,45.0549
138.487,16.9592,34.8128
146.181,13.2771,13.0241
143.695,22.2117,-3.60248
142.633,24.6857,-7.75828
132.059,22.4294,-40.1114
114.094,18.592,-44.8487
102.12,14.4472,-48.4034
113.777,20.8638,55.5593
119.192,31.3347,41.2069
119.035,30.9406,21.9057
117.234,29.8247,14.288
129.633,40.0944,-1.06419
129.481,39.3238,-5.13411
134.416,38.8909,-24.7322
110.61,23.4069,-42.0979
107.128,21.2166,-42.5595
107.311,24.8914,48.7192
106.94,29.6266,30.808
108.852,31.3482,16.003
107.479,30.9371,15.0311
113.849,34.0645,-0.409777
106.193,29.0796,-3.93161
103.717,24.9209,-12.2808
108.771,32.8484,-28.3157
101.515,20.549,-41.2806
101.161,27.1597,45.8893
100.027,28.5551,23.8138
100.886,29.3099,22.6473
100.568,29.2802,10.8258
102.68,31.1703,0.171383
101.111,26.5153,-5.1125
99.0823,23.5143,-6.55301
98.9324,22.2336,-13.7583
99.8333,25.9877,-34.9557
95.1225,23.2245,32.7644
96.2375,27.821,21.3811
95.7147,27.9961,12.2029
94.6307,27.7268,5.92674
94.1679,27.3064,1.4826
94.6833,28.6236,-2.64648
95.0962,22.228,-5.68615
95.8771,20.3889,-14.1177
94.8422,24.0756,-30.0625
94.0245,22.9521,32.3615
90.7511,24.9496,21.682
89.7723,25.2229,15.6463
90.798,26.4913,6.12425
93.9998,27.4862,1.25961
91.361,27.3417,-2.73927
93.3714,22.0429,-5.62035
93.9492,19.486,-13.9569
91.849,22.1165,-29.6063
86.9447,23.3909,44.729
89.4985,24.8187,21.3821
85.8204,23.5462,13.5689
86.0131,25.0117,10.0995
87.5812,24.8942,0.748019
87.1005,25.9462,0.0472128
90.0806,20.9426,-6.11511
91.6437,21.2396,-11.1032
89.5864,20.7996,-27.3698
85.3801,21.5173,42.4108
84.2316,19.4138,26.6116
84.2063,22.8345,12.6948
82.7271,23.4106,6.0706
83.6535,22.0959,2.26883
81.7465,24.8419,-2.05728
86.8494,18.9742,-8.06475
90.6233,17.0811,-13.688
87.8439,19.9471,-30.369
82.6104,15.8058,43.2612
81.3479,18.0935,26.4848
71.8749,20.2056,20.7133
78.1908,18.0125,7.05625
79.1506,18.699,5.97268
73.8925,20.3864,-6.19894
83.1034,16.7304,-11.7096
88.7636,15.1618,-14.0908
84.2169,16.5038,-35.577
-130.45,18.2971,29.6312
-140.161,14.9432,6.07214
-143.47,18.0607,6.81123
-159.77,7.45621,-14.304
-171.785,3.64509,-35.9337
-159.522,7.61629,-51.4629
-149.648,11.6671,-57.9495
-124.727,16.2405,10.0136
-126.446,13.2154,7.9324
-142.381,-0.0940985,1.31122
-148.117,-4.27173,-12.3456
-156.751,-7.6972,-37.3826
-147.097,-3.76163,-46.5172
-135.609,5.33104,-57.2073
-115.085,21.5075,18.3136
-128.259,5.38952,3.55928
-141.248,-2.63194,-2.62758
-132.129,-7.98491,-20.9026
-131.284,-4.89938,-26.5022
-127.788,-1.4792,-41.3495
-134.85,3.78713,-56.8494
-116.761,17.0702,34.6614
-125.798,1.4945,28.5126
-136.769,-19.2969,17.0384
-127.611,-8.6871,-22.936
-130.019,-7.05259,-25.3358
-122.83,0.586011,-44.2332
-117.432,4.04415,-46.4523
-145.388,-36.2133,-112.164
-112.505,17.6443,19.3405
-111.033,-1.3276,36.0333
-117.505,-23.9812,27.1684
-108.557,-7.4368,-34.0932
-119.256,-15.235,-49.3397
-110.71,5.13131,-47.948
-108.72,13.6681,18.3571
-107.448,-3.88661,35.9912
-90.3567,-24.4858,-39.2358
-99.985,-0.77429,-38.2963
-104.8,8.50889,-46.5719
-105.448,8.88418,-65.4804
-109.059,17.3134,-68.6767
-104.53,11.0459,19.2477
-99.5305,11.2117,18.6666
-94.4357,2.66551,-38.9034
-100.885,10.8065,-46.661
-101.998,9.24948,-64.7977
-103.532,16.3548,-67.4151
-97.2575,16.2216,19.2387
-98.4902,13.9474,18.591
-70.566,8.77084,23.2802
-49.0744,-14.1943,-42.3098
-87.0449,3.26022,-39.9815
-96.3802,13.1626,-47.3222
-97.0638,11.3789,-66.5572
-104.16,17.5138,-67.9774
-95.5885,20.5047,21.1601
-80.2892,22.2146,21.0631
-69.183,21.6811,18.6111
-40.8804,21.3843,-17.1048
-55.5119,24.0405,-34.0762
-82.6417,17.3527,-45.6301
-86.5479,16.4107,-46.9115
-88.5882,22.0287,-75.899
-98.6694,22.4569,-76.1876
-94.4115,30.5388,24.5286
-90.7314,32.377,20.2295
-52.2851,29.2073,12.8874
-48.7216,30.8439,-17.2958
-57.8043,26.4272,-31.5622
