sep=,
X,Y,Z
-18.0598,-46.9603,63.683
-17.5895,-45.2933,63.1039
-17.0527,-43.5808,62.5401
-16.2585,-42.0239,62.0531
-15.4379,-40.8672,61.8411
-14.4889,-39.34,61.4128
-13.5615,-37.7283,60.8491
-12.3518,-35.9909,60.39
-11.3076,-34.3526,59.7507
-10.124,-32.8059,59.1481
-9.03717,-31.2114,58.5037
-7.94069,-29.6462,58.1225
-6.56059,-27.9943,57.5182
-5.14103,-26.4496,56.9317
-3.74852,-24.9638,56.3216
-2.48311,-23.7063,55.9327
-0.973047,-22.269,55.3942
0.543267,-20.7492,54.7362
2.28709,-19.4422,54.4363
3.89325,-18.0755,54.0772
5.64928,-16.8752,53.8161
7.65516,-15.7016,53.6599
9.70069,-14.6365,53.6288
11.1032,-13.9234,53.6892
13.6062,-12.8774,53.7926
15.7147,-11.7998,53.6034
17.8841,-10.9628,53.5528
20.0924,-9.9165,53.7866
22.3156,-8.87055,54.0187
25.0668,-7.68157,54.122
27.552,-6.62069,54.6301
30.2647,-5.42698,54.8529
32.5287,-4.37238,55.0416
35.0243,-3.29079,55.5822
37.4334,-2.24655,56.1469
39.9182,-0.993362,56.9753
42.968,0.0808408,58.1999
45.7264,1.00616,59.6734
48.4035,1.96834,61.3358
51.3541,2.66738,62.9873
54.289,3.33081,64.4758
57.1773,4.06151,65.7624
60.2345,4.47144,66.4786
63.1863,5.13032,67.212
66.0533,5.91763,67.6621
69.0575,6.85757,68.1677
71.9833,7.59171,68.4942
74.7952,8.5638,68.8532
77.2463,9.42975,69.1971
80.4658,10.6277,69.5044
82.8907,11.59,69.6668
85.4267,12.6802,69.7151
87.8804,13.7061,69.7202
90.1202,14.8422,69.7384
92.4902,15.8423,69.5945
94.7597,16.9959,69.477
96.9379,17.9035,69.1893
98.8803,18.832,68.8143
100.754,19.8395,68.4851
102.504,20.4936,68.1108
104.233,21.2666,67.5865
106.036,21.8657,67.0302
107.772,22.5874,66.5326
109.203,22.9925,66.11
