sep=,
X,Y,Z
138.25,41.7678,-83.5771
150.098,43.4212,-83.6838
139.974,41.6628,-112.965
145.414,42.4726,-123.115
150.463,43.4207,-111.223
113.806,36.6769,-17.005
97.0817,34.5091,-20.0801
101.298,34.288,-23.405
97.8309,34.3536,-23.1245
102.472,35.334,-26.056
98.6177,34.723,-26.0155
128.45,39.5976,-41.8647
115.116,37.0507,-41.6604
111.518,36.6821,-45.2567
98.8383,34.1194,-46.1777
141.871,41.7737,-55.7819
122.809,38.4761,-56.9538
135.94,40.8173,-59.3598
137.302,40.8275,-61.4736
142.663,41.7467,-60.7981
139.768,41.3617,-73.1645
135.848,40.8991,-100.131
158.905,44.4337,-109.479
120.472,37.4425,-16.1873
127.867,38.8589,-33.6032
129.257,38.772,-35.4722
100.57,33.1066,-20.961
94.3204,32.9395,-19.9084
153.707,43.3927,-50.2971
126.956,38.3749,-40.2844
127.434,38.3527,-46.3051
95.5674,32.4558,-43.2717
118.54,36.8988,-48.2811
119.74,37.2082,-50.1018
123.31,37.8885,-59.419
120.347,37.1224,-62.649
121.78,37.5839,-67.3102
114.368,35.7539,-70.1199
139.832,40.8134,-73.0972
144.395,41.7813,-86.5602
94.5972,31.5208,-21.8297
94.8562,31.5413,-23.0063
125.245,37.2302,-38.2766
85.7367,28.6946,-23.6603
124.698,37.0116,-42.7513
111.023,34.0538,-39.6304
107.701,34.3454,-41.2188
92.8642,31.0705,-40.6591
119.194,35.8098,-53.1288
136.054,39.351,-57.2133
120.568,36.6644,-59.9312
124.156,37.3146,-63.3704
117.755,36.1766,-65.6335
123.32,37.0696,-67.0171
123.189,37.2236,-69.5927
138.066,40.0419,-81.6159
150.268,42.4271,-110.825
123.784,36.2762,-36.5616
96.0735,29.5702,-24.1707
88.9583,29.2712,-25.7059
92.2342,29.0578,-27.4773
85.5428,27.8433,-27.4073
117.051,34.5296,-41.2865
88.5671,27.927,-35.0958
90.3875,29.3624,-37.6829
117.394,34.9395,-44.6801
115.513,34.4749,-45.1313
111.686,33.3821,-67.395
136.085,39.2276,-85.4485
135.512,38.9149,-100.318
139.393,39.6081,-110.509
152.129,42.6385,-90.912
160.837,44.5218,-97.6658
126.119,36.215,-32.8705
127.239,36.2952,-33.9535
120.637,34.5155,-32.5936
122.46,35.4481,-34.7709
96.3847,28.3494,-25.1311
