20
77.1288,-83.2291,17.6156,-16.2168,-121.597,2.04346,64.7534,2824,0
39.6848,-84.163,16.7701,-25.9803,-111.753,5.18555,69.8511,2796,0
77.8073,-82.7865,18.6223,-32.8175,-134.165,26.4551,54.7778,2544,0
47.9045,-86.7539,14.4121,-36.5152,-114.543,-10.5249,75.7397,2636,0
47.9202,-87.3517,12.5543,-39.7463,-114.082,-9.1626,74.3774,2660,0
77.1367,-88.6457,17.6686,-16.5594,-120.981,5.20752,66.1377,2840,0
77.1837,-88.9466,19.2726,-20.6111,-126.497,7.64648,68.6865,2832,0
39.7083,-89.8006,19.0825,-27.309,-104.963,3.93311,70.4004,2800,0
47.8967,-89.3631,17.1711,-33.3597,-115.049,-11.3159,76.6846,2648,0
47.9006,-88.4371,15.5146,-34.9226,-114.675,-10.9424,76.1353,2636,0
47.9319,-90.2811,14.2956,-41.1686,-114.324,-7.7124,73.2568,2620,0
47.9829,-92.68,12.891,-44.3471,-113.665,3.47168,59.7217,2576,0
77.2151,-92.3554,19.8003,-21.7097,-130.034,6.32812,68.4888,2808,0
39.7867,-90.0465,19.8221,-27.6084,-103.777,2.92236,68.7085,2700,0
77.2583,-96.3554,20.1865,-27.1423,-131.902,9.07471,70.1367,2920,0
77.2661,-97.325,21.0082,-30.236,-132.847,10.5029,70.708,2940,0
77.2779,-99.1249,22.0281,-32.2985,-133.308,11.7554,71.3232,2928,0
77.3132,-101.321,20.6022,-36.3685,-132.605,16.062,68.313,2880,0
77.419,-105.278,21.9713,-36.645,-126.738,16.5674,62.3364,2868,0
77.3563,-103.524,19.879,-37.658,-135,19.7534,63.6108,2920,0
