X,Y,Z
147.803,-24.727,-9.34475
147.952,-24.7405,-9.3325
148.377,-25.2562,-9.90136
148.469,-25.5367,-10.3183
148.237,-25.453,-10.2822
148.247,-25.6176,-10.3077
148.67,-26.0689,-10.3755
148.81,-26.3624,-10.299
148.314,-26.2789,-10.2711
147.77,-26.1399,-10.4648
147.655,-25.8358,-10.7181
148.021,-25.2163,-10.7575
148.431,-24.5791,-10.5587
148.32,-24.3204,-10.5809
148.12,-24.6831,-10.9995
148.746,-25.2827,-11.0704
149.179,-25.1284,-10.6354
148.857,-24.8092,-10.8409
148.216,-25.0962,-11.5597
148.173,-25.82,-11.644
148.604,-26.2674,-11.355
149.187,-26.7972,-11.3943
150.049,-26.5863,-11.2523
150.645,-25.5956,-10.5748
150.624,-24.457,-10.14
150.057,-24.0601,-9.95207
149.474,-24.262,-10.079
149.57,-24.7493,-10.1545
149.742,-25.2595,-10.4474
149.496,-25.8442,-10.354
149.236,-26.3946,-10.1308
148.926,-26.9032,-9.96623
148.679,-28.2676,-8.68007
147.907,-29.7746,-6.63624
146.251,-30.7,-6.50976
145.102,-31.2504,-5.90684
144.356,-31.1852,-4.96605
143.769,-30.9316,-4.01583
143.944,-30.8392,-3.41714
144.069,-30.599,-2.37568
143.626,-30.7012,-2.03166
143.873,-30.6639,-2.04515
144.044,-30.3792,-2.49298
143.112,-29.8748,-3.34587
141.867,-29.9517,-3.62316
141.142,-29.8664,-3.35233
141.371,-29.6465,-3.13819
142.115,-28.9728,-2.98262
142.401,-28.8177,-2.90536
141.811,-29.467,-3.27557
141.287,-29.2848,-3.62589
141.242,-28.8424,-3.43916
141.475,-28.8804,-3.13535
141.736,-29.1028,-3.28476
142.149,-29.1059,-3.29592
142.208,-28.8436,-3.00138
141.875,-28.2403,-2.51746
140.99,-27.8796,-2.5337
140.866,-27.9638,-2.6661
141.331,-28.3621,-2.51526
141.972,-28.6717,-2.26733
142.596,-28.4154,-1.90601
143.08,-28.1545,-1.56922
143.233,-28.1794,-1.50941
143.442,-28.629,-1.61291
143.5,-29.0513,-1.7189
143.412,-29.1056,-1.74971
143.202,-28.9435,-1.75835
143.303,-29.1754,-1.93889
143.252,-29.3803,-2.08513
