X,Y,Z
22.7112,36.1707,65.0653
22.8561,35.2435,65.8631
23.0002,34.2295,66.6101
23.4737,33.0937,67.5747
23.9493,32.1052,68.4833
24.7337,30.7539,69.5998
25.5364,29.5543,70.4124
26.6574,28.1364,71.3972
27.8994,26.9131,72.2238
29.3799,25.8241,73.0166
31.1978,24.6215,73.7765
33.4543,23.3951,74.5455
35.2968,22.6,75.0034
38.0206,21.601,75.5405
40.8594,20.6954,76.1255
43.5047,20.002,76.5563
46.576,19.2355,77.1067
49.3318,18.593,77.4471
52.524,17.969,77.9469
55.8434,17.5395,78.3082
58.3867,17.2507,78.6871
62.06,17.0593,79.0619
65.5076,16.9785,79.4807
69.6271,16.9547,79.9722
73.3107,17.112,80.3998
76.8865,17.3673,80.8744
80.5676,17.5662,81.4453
84.5865,17.8538,82.0851
88.2589,18.047,82.9196
91.0463,18.1435,83.5085
93.4963,18.3648,84.1437
96.1593,18.4169,84.8351
98.1464,18.5048,85.5037
99.9039,18.406,86.0633
101.561,18.4251,86.6824
102.998,18.3949,87.1315
104.204,18.3766,87.5729
105.418,18.3582,88.0143
106.301,18.3089,88.3001
107.078,18.3294,88.477
107.409,18.3604,88.6385
107.521,18.3544,88.6497
107.634,18.2862,88.4901
107.756,18.4301,88.4452
108.223,18.657,88.2131
109.259,19.1017,88.2515
110.864,19.8025,88.2116
112.366,20.5229,88.1539
114.09,21.43,88.2113
115.586,22.0871,88.0173
116.742,22.7259,87.9113
117.79,23.3218,87.6514
118.395,23.8423,87.3257
118.873,24.2336,87.0448
119.126,24.474,86.5556
119.261,24.8686,86.2633
119.289,25.1846,85.9165
119.202,25.3924,85.5153
119.001,25.6552,85.2603
118.791,25.768,85.054
118.357,25.8999,84.8401
118.033,26.0676,84.78
117.486,26.0485,84.6109
116.382,26.0593,84.4085
114.379,25.9554,83.9965
111.704,25.8024,83.5042
108.791,25.285,82.8016
105.775,24.9508,82.1965
102.518,24.471,81.6326
99.0489,23.962,80.9165
95.4659,23.5078,80.3407
91.9905,23.1584,79.8195
88.635,22.9396,79.5028
86.0662,22.871,79.314
82.9344,22.7885,79.2055
80.0254,22.6941,79.1047
77.1157,22.6502,78.9045
74.3181,22.5498,78.8075
