X,Y,Z
-125.53,-47.4561,10.1114
-125.498,-47.5038,10.279
-125.401,-47.4054,10.2057
-125.291,-47.3991,10.1875
-125.315,-47.3209,10.1309
-125.425,-47.4023,10.0528
-125.449,-47.3264,9.99623
-125.449,-47.3288,9.99623
-125.325,-47.2457,10.0905
-125.321,-47.1868,10.1868
-125.324,-47.2457,10.1082
-125.41,-47.4054,10.0891
-125.4,-47.5403,10.0509
-125.407,-47.6008,9.95619
-125.404,-47.5233,10.047
-125.271,-47.5953,10.1054
-125.163,-47.5138,10.1996
-125.192,-47.4056,10.143
-125.3,-47.4096,10.1597
-125.33,-47.3198,10.1032
-125.33,-47.3198,10.1032
-125.33,-47.3198,10.1032
-125.194,-47.3894,10.1592
-125.195,-47.4646,10.0645
-125.087,-47.4421,10.0478
-124.748,-47.3746,9.99764
-124.532,-47.4023,9.88555
-124.53,-47.4184,9.88161
-124.526,-47.3732,9.97479
-124.521,-47.3303,10.0856
-124.397,-47.3988,9.97019
-124.366,-47.5046,10.0267
-124.254,-47.498,10.01
-124.234,-47.4551,10.1032
-124.258,-47.3775,10.0466
-124.284,-47.3152,9.99012
-124.172,-47.3086,9.95503
-124.034,-47.394,9.99326
-124.035,-47.4506,9.89848
-123.988,-47.5586,9.955
-123.958,-47.6667,10.0115
-123.952,-47.5512,10.2171
-123.98,-47.4576,10.1622
-123.983,-47.4576,10.1622
-123.875,-47.4349,10.1438
-123.875,-47.4349,10.1438
-123.978,-47.3986,10.2554
-123.98,-47.4147,10.2554
-123.981,-47.4736,10.1606
-123.953,-47.6238,10.1223
-123.981,-47.5318,10.0642
-123.983,-47.5318,10.0642
-123.875,-47.509,10.0475
-123.981,-47.4729,10.1727
-124.005,-47.3356,10.211
-123.989,-47.3356,10.2094
-123.992,-47.4098,10.113
-123.908,-47.295,10.0375
-123.88,-47.4014,10.0963
-123.773,-47.381,10.0971
-123.665,-47.4331,9.98394
-123.43,-47.3287,10.0612
-123.347,-47.1693,10.0827
-123.347,-47.1693,10.0827
-123.427,-47.2842,10.1575
-123.43,-47.3271,10.0627
-123.43,-47.343,10.0627
-123.319,-47.3203,10.0444
-123.43,-47.4012,9.95042
-123.324,-47.4373,9.83495
-123.313,-47.527,9.89141
-123.205,-47.4899,9.87465
-123.208,-47.4899,9.87465
-123.179,-47.5684,9.93112
-123.182,-47.5668,9.94703
-123.074,-47.5599,9.93026
-123.074,-47.5615,9.93026
-123.074,-47.5433,9.93026
-122.937,-47.5537,10.0648
-122.935,-47.5537,10.0648
-122.935,-47.5696,10.0648
-122.948,-47.4187,10.119
-122.948,-47.4028,10.1174
-122.966,-47.4617,10.0242
-122.748,-47.3437,10.0877
-122.641,-47.3194,10.0726
-122.287,-47.3614,10.0787
-122.298,-47.2693,10.0222
-122.324,-47.193,9.96571
-122.217,-47.2426,9.85021
-122.107,-47.2199,9.83342
-121.995,-47.154,9.91144
-121.915,-47.0549,9.83819
-121.787,-47.0462,9.8214
-121.65,-47.1288,9.85949
-121.538,-47.1217,9.8427
-121.428,-47.04,9.92072
-121.29,-47.1249,9.96038
-121.182,-47.102,9.9436
-121.074,-47.0791,9.92681
-121.072,-47.0971,9.92842
-121.072,-47.0955,9.92842
-120.964,-47.0726,9.89599
-120.964,-47.0719,9.89599
-120.827,-47.1411,9.93568
-120.825,-47.1411,9.93406
-120.827,-47.1411,9.93406
-120.827,-47.1411,9.93406
-120.854,-47.049,9.87761
-120.858,-47.1079,9.7828
-120.858,-47.0923,9.7828
-120.831,-47.1866,9.8565
-120.862,-47.0797,9.80396
-120.752,-46.9979,9.88197
-120.722,-47.1056,9.95406
-120.614,-47.0834,9.93726
-120.612,-47.0834,9.93726
-120.535,-47.0251,9.78478
-120.518,-47.0423,9.76758
-120.407,-47.0327,9.75078
-120.269,-47.0562,9.88131
-120.055,-47.0692,9.73737
-119.945,-47.0324,9.72059
-119.824,-47.0411,9.83955
-119.485,-46.9747,9.80633
-119.376,-46.968,9.8073
-119.296,-46.853,9.73404
-119.082,-46.8638,9.60564
-118.842,-46.9551,9.53371
-118.626,-46.9094,9.50011
-118.415,-46.9813,9.27692
-118.201,-46.9968,9.14853
-118.045,-46.8258,8.92248
-117.909,-46.8926,8.96213
-117.557,-46.9159,8.96413
-117.207,-46.9393,8.97014
-116.883,-46.8555,8.93484
-116.777,-46.7737,9.01282
-116.453,-46.7051,8.96471
-116.237,-46.6443,8.93105
-116.133,-46.6064,8.91422
-115.904,-46.6527,8.9537
-115.721,-46.5613,8.75377
